,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
0,1,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
1,2,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
2,3,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
3,4,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,6,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
7,8,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
8,9,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,10,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,11,1,42,1,33,1,43,34,0.9767441860465116,0.9767441860465116,0.9705882352941176,0.9705882352941176,0.9767441860465116,0.9705882352941176,0.974025974025974,0.974025974025974,0.974025974025974
11,12,1,43,0,34,0,43,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,13,1,42,1,34,0,43,34,1.0,0.9767441860465116,0.9714285714285714,1.0,0.988235294117647,0.9855072463768115,0.9873840445269016,0.987012987012987,0.9870307016087068
13,14,1,42,1,33,1,43,34,0.9767441860465116,0.9767441860465116,0.9705882352941176,0.9705882352941176,0.9767441860465116,0.9705882352941176,0.974025974025974,0.974025974025974,0.974025974025974
14,15,1,42,1,33,1,43,34,0.9767441860465116,0.9767441860465116,0.9705882352941176,0.9705882352941176,0.9767441860465116,0.9705882352941176,0.974025974025974,0.974025974025974,0.974025974025974
15,16,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
16,17,1,39,4,33,1,43,34,0.975,0.9069767441860465,0.8918918918918919,0.9705882352941176,0.9397590361445783,0.9295774647887325,0.9383029133029133,0.935064935064935,0.9352632773640751
17,18,1,41,2,34,0,43,34,1.0,0.9534883720930233,0.9444444444444444,1.0,0.9761904761904763,0.9714285714285714,0.9754689754689755,0.974025974025974,0.9740878169449598
18,19,1,22,21,33,1,43,34,0.9565217391304348,0.5116279069767442,0.6111111111111112,0.9705882352941176,0.6666666666666667,0.7499999999999999,0.8040027605244997,0.7142857142857143,0.7034632034632036
19,20,1,21,22,31,3,43,34,0.875,0.4883720930232558,0.5849056603773585,0.9117647058823529,0.6268656716417911,0.7126436781609194,0.7469063954913012,0.6753246753246753,0.6647416745203673
20,21,1,39,4,32,2,43,34,0.9512195121951219,0.9069767441860465,0.8888888888888888,0.9411764705882353,0.9285714285714286,0.9142857142857143,0.9236968993066553,0.922077922077922,0.9222634508348795
21,22,1,41,2,31,3,43,34,0.9318181818181818,0.9534883720930233,0.9393939393939394,0.9117647058823529,0.942528735632184,0.9253731343283583,0.9351633215269578,0.935064935064935,0.9349535350564687
22,23,1,43,0,32,2,43,34,0.9555555555555556,1.0,1.0,0.9411764705882353,0.9772727272727273,0.9696969696969697,0.9751803751803751,0.974025974025974,0.9739275875639513
23,24,0,43,0,0,34,43,34,0.5584415584415584,1.0,0.0,0.0,0.7166666666666666,0.0,0.31185697419463654,0.5584415584415584,0.4002164502164502
24,25,1,28,15,31,3,43,34,0.9032258064516129,0.6511627906976745,0.6739130434782609,0.9117647058823529,0.7567567567567568,0.775,0.8019708202036392,0.7662337662337663,0.7648122148122148
25,26,1,34,9,30,4,43,34,0.8947368421052632,0.7906976744186046,0.7692307692307693,0.8823529411764706,0.8395061728395061,0.8219178082191781,0.8393185761606815,0.8311688311688312,0.8317398819681924
26,27,1,38,5,26,8,43,34,0.8260869565217391,0.8837209302325582,0.8387096774193549,0.7647058823529411,0.853932584269663,0.7999999999999999,0.8316606254895175,0.8311688311688312,0.8301181964103314
27,28,1,37,6,27,7,43,34,0.8409090909090909,0.8604651162790697,0.8181818181818182,0.7941176470588235,0.8505747126436781,0.8059701492537314,0.8308736717827627,0.8311688311688312,0.8308791911468186
28,29,1,37,6,25,9,43,34,0.8043478260869565,0.8604651162790697,0.8064516129032258,0.7352941176470589,0.8314606741573034,0.7692307692307693,0.8052767709149196,0.8051948051948052,0.8039825343196131
29,30,1,35,8,24,10,43,34,0.7777777777777778,0.813953488372093,0.75,0.7058823529411765,0.7954545454545455,0.7272727272727272,0.7655122655122655,0.7662337662337663,0.7653482880755609
30,31,1,40,3,26,8,43,34,0.8333333333333334,0.9302325581395349,0.896551724137931,0.7647058823529411,0.8791208791208791,0.8253968253968255,0.8612479474548441,0.8571428571428571,0.8553985696842841
31,32,1,27,16,31,3,43,34,0.9,0.627906976744186,0.6595744680851063,0.9117647058823529,0.7397260273972602,0.7654320987654322,0.7938380768168002,0.7532467532467533,0.7510767602091802
32,33,0,36,7,26,8,43,34,0.8181818181818182,0.8372093023255814,0.7878787878787878,0.7647058823529411,0.8275862068965518,0.7761194029850745,0.8048012593467139,0.8051948051948052,0.804860605169406
33,34,0,38,5,24,10,43,34,0.7916666666666666,0.8837209302325582,0.8275862068965517,0.7058823529411765,0.8351648351648352,0.7619047619047619,0.8075272428720703,0.8051948051948052,0.80281623138766
34,35,1,40,3,25,9,43,34,0.8163265306122449,0.9302325581395349,0.8928571428571429,0.7352941176470589,0.8695652173913043,0.806451612903226,0.8501192684866153,0.8441558441558441,0.8416968725524127
35,36,1,35,8,23,11,43,34,0.7608695652173914,0.813953488372093,0.7419354838709677,0.6764705882352942,0.7865168539325844,0.7076923076923077,0.7525090617657237,0.7532467532467533,0.7517112101381764
36,37,1,36,7,26,8,43,34,0.8181818181818182,0.8372093023255814,0.7878787878787878,0.7647058823529411,0.8275862068965518,0.7761194029850745,0.8048012593467139,0.8051948051948052,0.804860605169406
37,38,1,38,5,18,16,43,34,0.7037037037037037,0.8837209302325582,0.782608695652174,0.5294117647058824,0.7835051546391752,0.631578947368421,0.7385448689796517,0.7272727272727273,0.7164208553248163
38,39,0,39,4,18,16,43,34,0.7090909090909091,0.9069767441860465,0.8181818181818182,0.5294117647058824,0.7959183673469388,0.6428571428571428,0.7572609208972846,0.7402597402597403,0.7283328915981977
