"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"1",1,"-14.29","-4.76","-0.79","0.0","50","1251","5.000388163","mt-zrf"
"2",1,"-14.29","-4.76","-1.57","-0.79","50","313","2.442930694","mt-zrf"
"3",1,"-14.29","-4.76","-2.36","-1.57","50","30","1.475317743","mt-zrf"
"4",1,"-14.29","-4.76","-3.14","-2.36","50","169","1.438607039","mt-zrf"
"5",1,"-14.29","-4.76","0.0","0.79","50","773","3.382828001","mt-zrf"
"6",1,"-14.29","-4.76","0.79","1.57","50","1086","2.622071432","mt-zrf"
"7",1,"-14.29","-4.76","1.57","2.36","50","1355","13.17755461","mt-zrf"
"8",1,"-14.29","-4.76","2.36","3.14","50","631","23.36158992","mt-zrf"
"9",1,"-23.82","-14.29","-0.79","0.0","50","340","3.082637118","mt-zrf"
"10",1,"-23.82","-14.29","-1.57","-0.79","50","620","3.077104088","mt-zrf"
"11",1,"-23.82","-14.29","-2.36","-1.57","50","329","3.323007326","mt-zrf"
"12",1,"-23.82","-14.29","-3.14","-2.36","50","533","2.09440221","mt-zrf"
"13",1,"-23.82","-14.29","0.0","0.79","50","550","9.856916954","mt-zrf"
"14",1,"-23.82","-14.29","0.79","1.57","50","109","3.293308197","mt-zrf"
"15",1,"-23.82","-14.29","1.57","2.36","50","1604","4.366123127","mt-zrf"
"16",1,"-23.82","-14.29","2.36","3.14","50","741","2.359758566","mt-zrf"
"17",1,"-33.35","-23.82","-0.79","0.0","50","552","2.248771461","mt-zrf"
"18",1,"-33.35","-23.82","-1.57","-0.79","50","2781","4.590785669","mt-zrf"
"19",1,"-33.35","-23.82","-2.36","-1.57","50","2789","3.167263096","mt-zrf"
"20",1,"-33.35","-23.82","-3.14","-2.36","50","3101","2.833826731","mt-zrf"
"21",1,"-33.35","-23.82","0.0","0.79","50","315","2.64464664","mt-zrf"
"22",1,"-33.35","-23.82","0.79","1.57","50","669","1.964761106","mt-zrf"
"23",1,"-33.35","-23.82","1.57","2.36","50","2973","3.232531342","mt-zrf"
"24",1,"-33.35","-23.82","2.36","3.14","50","2199","2.707939499","mt-zrf"
"25",1,"-4.76","4.76","-0.79","0.0","50","686","2.852987843","mt-zrf"
"26",1,"-4.76","4.76","-1.57","-0.79","50","81","0.743987751","mt-zrf"
"27",1,"-4.76","4.76","-2.36","-1.57","50","66","0.654778379","mt-zrf"
"28",1,"-4.76","4.76","-3.14","-2.36","50","83","0.751233754","mt-zrf"
"29",1,"-4.76","4.76","0.0","0.79","50","1066","3.408316431","mt-zrf"
"30",1,"-4.76","4.76","0.79","1.57","50","681","2.44861779","mt-zrf"
"31",1,"-4.76","4.76","1.57","2.36","50","1145","16.13035764","mt-zrf"
"32",1,"-4.76","4.76","2.36","3.14","50","443","14.56122355","mt-zrf"
"33",1,"-42.88","-33.35","-0.79","0.0","50","1412","2.943459273","mt-zrf"
"34",1,"-42.88","-33.35","-1.57","-0.79","50","7257","5.752580973","mt-zrf"
"35",1,"-42.88","-33.35","-2.36","-1.57","50","4507","3.542183343","mt-zrf"
"36",1,"-42.88","-33.35","-3.14","-2.36","50","3450","2.82091205","mt-zrf"
"37",1,"-42.88","-33.35","0.0","0.79","50","282","3.178861572","mt-zrf"
"38",1,"-42.88","-33.35","0.79","1.57","50","778","3.924322365","mt-zrf"
"39",1,"-42.88","-33.35","1.57","2.36","50","3154","3.653475711","mt-zrf"
"40",1,"-42.88","-33.35","2.36","3.14","50","1950","2.463814418","mt-zrf"
"41",1,"-52.4","-42.88","-0.79","0.0","50","1853","3.506855262","mt-zrf"
"42",1,"-52.4","-42.88","-1.57","-0.79","50","11140","5.641640982","mt-zrf"
"43",1,"-52.4","-42.88","-2.36","-1.57","50","3347","2.745601492","mt-zrf"
